co_id,ticker_full,name,board,commodities,listing_date,status,covers_listing,first_price_date,last_price_date,trading_days,milestones_filled,consolidated,split_factor,n_splits,div_total,vol_base,mcap_30jun2026,px_base,px_d7,px_d30,px_d90,px_d180,px_d365,px_d730,px_d1095,px_d1825,px_d2555,px_d3650,px_d5475,px_latest,ret_d7,ret_d30,ret_d90,ret_d180,ret_d365,ret_d730,ret_d1095,ret_d1825,ret_d2555,ret_d3650,ret_d5475,ret_latest
END0004,EDV.TO,Endeavour Mining plc,TSX,Gold,2003-11-20,ok,True,1996-08-08,2026-08-25,7549.0,11.0,True,0.1,1.0,12.639,21716.0,17196532153.32,28.293,29.9431,26.3158,32.1435,19.7147,27.3255,30.301,53.6188,14.0954,23.1396,5.0054,15.0325,90.85,0.0583,-0.0699,0.1361,-0.3032,-0.0342,0.071,0.8951,-0.5018,-0.1821,-0.8231,-0.4687,2.211
END0005,EDR.TO,Endeavour Silver Corp.,TSX,Gold | Silver,2006-02-07,ok,True,1996-08-08,2026-08-25,7549.0,11.0,False,1.0,0.0,0.0,447840.0,3485596977.83,2.934,2.87,3.67,4.62,3.6,5.02,3.32,1.88,6.73,6.94,1.88,6.18,15.33,-0.0218,0.2509,0.5746,0.227,0.711,0.1316,-0.3592,1.2938,1.3654,-0.3592,1.1063,4.2249
ENE0020,EFR.TO,Energy Fuels Inc.,TSX,Uranium,2007-03-19,ok,True,1996-07-31,2026-08-25,7554.0,11.0,True,0.02,1.0,0.0,3209.0,5148349672.2,207.2,208.0,223.5,152.0,90.0,77.5,10.5,11.0,14.5,11.65,2.98,10.58,22.09,0.0039,0.0787,-0.2664,-0.5656,-0.626,-0.9493,-0.9469,-0.93,-0.9438,-0.9856,-0.9489,-0.8934
ENT0005,ETG.TO,Entree Resources Ltd.,TSX,Gold | Copper,2006-04-24,ok,True,2001-02-06,2026-08-25,6417.0,11.0,False,1.0,0.0,0.0,90100.0,642401433.52,2.724,2.7,1.46,1.24,1.84,2.57,1.52,1.34,2.58,0.26,0.38,0.8,2.54,-0.0088,-0.464,-0.5448,-0.3245,-0.0565,-0.442,-0.5081,-0.0529,-0.9046,-0.8605,-0.7063,-0.0675
V-02583,EQX.TO,Equinox Gold Corp.,TSX,Gold,2019-11-25,ok,True,2014-07-02,2026-08-25,3049.0,8.0,False,1.0,0.0,0.072,67740.0,10906127102.84,7.6565,8.0868,9.9491,12.658,12.4787,12.4987,9.3914,4.6609,7.6884,,,,19.33,0.0562,0.2994,0.6532,0.6298,0.6324,0.2266,-0.3912,0.0042,,,,1.5247
ERD0001,ERD.TO,Erdene Resource Development Corporation,TSX,Gold | Copper,2005-12-14,ok,True,2004-05-07,2026-08-25,5598.0,11.0,True,0.1667,1.0,0.0,6306.0,343864026.14,4.884,5.52,6.0,6.24,5.64,4.62,6.6,0.9,7.8,0.96,0.84,2.28,6.85,0.1302,0.2285,0.2776,0.1548,-0.0541,0.3514,-0.8157,0.5971,-0.8034,-0.828,-0.5332,0.4025
ERO0001,ERO.TO,Ero Copper Corp.,TSX,Copper,2017-10-19,ok,True,2017-10-19,2026-08-25,2221.0,9.0,False,1.0,0.0,0.0,394260.0,3949006648.16,4.966,5.0,6.45,8.0,8.0,10.64,16.44,19.66,16.07,26.87,,,55.85,0.0068,0.2988,0.611,0.611,1.1426,2.3105,2.9589,2.236,4.4108,,,10.2465
EUR0016,ESM.TO,Euro Sun Mining Inc.,TSX,Gold | Copper,2016-09-12,ok,True,2016-09-21,2026-08-25,2491.0,9.0,False,1.0,0.0,0.0,82540.0,59886625.455,1.16,1.16,1.12,0.71,0.68,1.69,0.69,0.4,0.4,0.035,,,0.1575,0.0,-0.0345,-0.3879,-0.4138,0.4569,-0.4052,-0.6552,-0.6552,-0.9698,,,-0.8642
FAR0008,FDY.TO,Faraday Copper Corp.,TSX,Copper,2022-11-03,ok,True,2018-01-02,2026-08-25,2171.0,7.0,False,1.0,0.0,0.0,84560.0,1751766964.25,0.454,0.43,0.57,0.77,0.96,0.63,0.9,2.12,,,,,5.92,-0.0529,0.2555,0.696,1.1145,0.3877,0.9824,3.6696,,,,,12.0396
X-1028,FFM.TO,FireFly Metals Ltd.,TSX,Gold | Copper,2024-12-16,ok,True,2024-12-17,2026-08-24,422.0,5.0,False,1.0,0.0,0.0,22820.0,1391502602.08,0.902,0.9,0.88,0.98,0.99,1.65,,,,,,,1.87,-0.0022,-0.0244,0.0865,0.0976,0.8293,,,,,,,1.0732
