co_id,ticker_full,ticker,name,name_normalised,board,isin,cusip,sedar_issuer_no,former_names,commodities,commodity_count,is_polymetallic,company_type,is_royalty_streamer,no_disclosed_commodity,property_regions,property_jurisdictions,property_region_count,jurisdiction_count,hq_matches_property,no_disclosed_property,shell_like,stage,incorporation_jurisdiction,mcap,shares,px,size_band,value_ytd,vol_ytd,trades_ytd,months,turnover,turnover_pctile,turnover_pctile_in_band,attention_ratio,avg_trade,dormant,hq_location,hq_region,listing_type,listing_date_iso,days_listed,lyear,yrs,exchange,sector,listing_date,interlisted_2,tsxv_grad,po_id,interlisted,otc_tier,cpc_flag,index_member,annual_list,comm_oil_and_gas,comm_gold,comm_silver,comm_copper,comm_nickel,comm_diamond,comm_molybdenum,comm_platinum_pgm,comm_iron,comm_lead,comm_zinc,comm_rare_earths,comm_potash,comm_lithium,comm_uranium,comm_coal,comm_tungsten,comm_base_precious_metals,comm_royalty_streaming,comm_other_properties,prop_africa,prop_asia,prop_aus_nz_png,prop_canada,prop_latin_america,prop_other,prop_uk_europe,prop_usa,enrich_source,data_asof,properties_asof
V-04585,APMI.V,APMI,Apogee Minerals Ltd.,apogee minerals,TSXV,,,,,Gold | Uranium,2,True,Operator,False,False,CANADA,SK,1,1,True,False,False,,,9216600.12,76805001,0.12,5-25M,500180.5,4877163.0,265.0,6.0,0.0542695238469345,18.035882908404155,19.12751677852349,0.13790747093932804,1887.4735849056603,False,BC,Canada,QT,2021-08-04,1791.0,2021.0,5.0,TSXV,Mining,20210804.0,,,1182980.0,,,Y,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,,2026-06-30,2026-07-31
V-00100,APGO.V,APGO,Apollo Silver Corp.,apollo silver,TSXV,,,,,Silver,1,False,Operator,False,False,LATIN AMERICA | USA,Mexico | CA,2,2,False,False,False,,,164275277.4,63182799,2.6,100-500M,126737612.5,30612035.0,58559.0,6.0,0.7714953491839301,97.07271010387157,96.72131147540983,1.9604920940064468,2164.2721443330656,False,BC,Canada,,,,,,TSXV,Mining,,,,1045778.0,,OTCQB,Y,Y,Y,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,,2026-06-30,2026-07-31
V-04067,ABR.V,ABR,Arbor Metals Corp.,arbor metals,TSXV,,,,,Lithium,1,False,Operator,False,False,CANADA,ON | QC,1,2,True,False,False,,,12041788.32,100348236,0.12,5-25M,2594289.0,13609342.0,3950.0,6.0,0.2154405085905047,63.550519357884795,72.81879194630872,0.5474685158726946,656.7820253164557,False,BC,Canada,IPO,2012-10-24,4997.0,2012.0,14.0,TSXV,Mining,20121024.0,,,1153745.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,2026-06-30,2026-07-31
V-00133,ACS.V,ACS,Archon Minerals Limited,archon minerals,TSXV,,,,,Diamond,1,False,Operator,False,False,CANADA,NT,1,1,True,False,False,,,3537089.27,54416758,0.065,<5M,29050.5,262886.0,42.0,5.0,0.0082131090799413,1.9830028328611897,5.5,0.02087081333085099,691.6785714285714,True,BC,Canada,,,,,,TSXV,Mining,,,,40133.0,,,,,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,2026-06-30,2026-07-31
V-00135,ADD.V,ADD,Arctic Star Exploration Corp.,arctic star exploration,TSXV,,,,,Diamond,1,False,Operator,False,False,CANADA | UK/EUROPE,NT | NU | Finland,2,3,True,False,False,,,2387103.7,238710370,0.01,<5M,,,,,,,,,,True,BC,Canada,,,,,,TSXV,Mining,,,,1075697.0,,,,,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,,2026-06-30,2026-07-31
V-02618,ADG.V,ADG,Arcus Development Group Inc.,arcus development,TSXV,,,,,,0,False,Operator,False,True,,,0,0,False,True,True,,,7427399.0,21221140,0.35,5-25M,564607.5,1293455.0,151.0,6.0,0.0760168532752851,26.912181303116146,28.187919463087248,0.1931708856250211,3739.122516556291,False,BC,Canada,Other,2007-10-23,6825.0,2007.0,19.0,TSXV,Mining,20071023.0,,,1114747.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,2026-06-30,2026-07-31
V-04012,AWX.V,AWX,ArcWest Exploration Inc.,arcwest exploration,TSXV,,,,,Gold | Copper,2,True,Operator,False,False,CANADA,BC,1,1,True,False,False,,,6263003.025,83506707,0.075,5-25M,1297577.5,13535326.0,908.0,6.0,0.2071813624902408,61.37865911237016,70.46979865771812,0.5264807151685956,1429.0501101321586,False,BC,Canada,QT,2013-07-31,4717.0,2013.0,13.0,TSXV,Mining,20130731.0,,,1151750.0,,,Y,,,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,2026-06-30,2026-07-31
V-02136,AGAG.V,AGAG,Argenta Silver Corp.,argenta silver,TSXV,,,,,Silver,1,False,Operator,False,False,LATIN AMERICA,Argentina,1,1,False,False,False,,,127748500.88,290337502,0.44,100-500M,95057235.0,132823771.0,40075.0,6.0,0.7440966770270878,96.41170915958452,96.17486338797814,1.8908677207596318,2371.983406113537,False,BC,Canada,,,,,,TSXV,Mining,,,,1065322.0,,OTCQB,,Y,Y,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,2026-06-30,2026-07-31
V-00095,LIT.V,LIT,Argentina Lithium & Energy Corp.,argentina lithium energy,TSXV,,,,,Lithium,1,False,Operator,False,False,LATIN AMERICA,Argentina,1,1,False,False,False,,,11693217.95,137567270,0.0849999999999999,5-25M,6108490.5,52895381.0,6754.0,6.0,0.522396018454441,90.08498583569406,93.95973154362416,1.3274911704959764,904.425599644655,False,BC,Canada,,,,,,TSXV,Mining,,,,1092092.0,,OTCQB,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,2026-06-30,2026-07-31
V-5107,VLLC.V,VLLC,Argentina Metals Corp.,argentina metals,TSXV,,,,,Copper,1,False,Operator,False,False,LATIN AMERICA,Argentina,1,1,False,False,False,,,22545603.045,71573343,0.315,5-25M,269115.0,1040951.0,215.0,1.0,0.0119364737977005,2.927289896128423,2.348993288590604,0.030332473858021868,1251.6976744186047,True,BC,Canada,Other,2026-06-16,14.0,2026.0,0.0,TSXV,Mining,20260616.0,,,1189086.0,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,2026-06-30,2026-07-31
