ticker_full,co_id,name,board,mcap,isin,cusip,sedar_issuer_no,former_names,stage,incorporation_jurisdiction
GGA.V,SIE0004,Goldgroup Mining Inc.,TSXV,497855437.2,,,,,,
HSTR.V,V-01669,Heliostar Metals Ltd.,TSXV,497188665.5,,,,,,
ALDE.V,V-04511,Aldebaran Resources Inc.,TSXV,485637525.08,,,,,,
IFOS.V,V-04305,Itafos Inc.,TSXV,476377847.1,,,,,,
PML.V,V-01502,Panoro Minerals Ltd.,TSXV,474336664.34,,,,,,
CLCH.TO,X-1471,Clinch Resources Ltd.,TSX,472838818.97,,,,,,
VOXR.TO,V-04510,Vox Royalty Corp.,TSX,461641698.2,,,,,,
SLG.V,V-04448,San Lorenzo Gold Corp.,TSXV,454327596.4,,,,,,
FDR.V,V-04700,Founders Metals Inc.,TSXV,445890685.44,,,,,,
JAG.TO,JAG0003,Jaguar Mining Inc.,TSX,441160551.37,,,,,,
SLVR.TO,V-03695,Silver Tiger Metals Inc.,TSX,441115332.02,,,,,,
CAD.V,V-03080,Colonial Coal International Corp.,TSXV,424069186.79,,,,,,
SIG.V,V-05006,Sitka Gold Corp.,TSXV,423329680.0,,,,,,
SICO.V,V-04790,Silverco Mining Ltd.,TSXV,406063598.46,,,,,,
KRY.V,V-01047,Koryx Copper S.A.,TSXV,403390225.6,,,,,,
BRVO.V,V-04905,Bravo Mining Corp.,TSXV,400200564.96,,,,,,
SBI.TO,SER0009,Serabi Gold plc,TSX,399852662.4,,,,,,
TRX.TO,TAN0001,TRX Gold Corporation,TSX,399510769.68,,,,,,
GLAD.V,V-03855,Gladiator Metals Corp.,TSXV,392802916.87,,,,,,
VGZ.TO,VIS0005,Vista Gold Corp.,TSX,391203207.28,,,,,,
CDPR.V,V-5055,Cerro De Pasco Resources Inc.,TSXV,388692164.7,,,,,,
HCH.V,V-04834,Hot Chili Limited,TSXV,388184845.44,,,,,,
PCU.V,V-5072,Pecoy Copper Corp.,TSXV,387554378.05,,,,,,
LIFT.V,V-04991,Li-FT Power Ltd.,TSXV,385904075.65,,,,,,
FISH.V,V-04394,Sailfish Royalty Corp.,TSXV,383332196.16,,,,,,
WGO.V,V-01733,White Gold Corp.,TSXV,377400000.0,,,,,,
LA.V,V-00749,Los Andes Copper Limited,TSXV,371699431.13,,,,,,
SVRS.V,V-00834,Silver Storm Mining Ltd.,TSXV,364198833.0,,,,,,
CUU.V,V-00481,Copper Fox Metals Inc.,TSXV,363474991.32,,,,,,
EU.V,V-03124,enCore Energy Corp.,TSXV,359357166.45,,,,,,
NAU.V,V-03955,Nevgold Corp.,TSXV,355442780.16,,,,,,
SASK.V,V-05002,Atha Energy Corp.,TSXV,347315338.26,,,,,,
TNGD.V,V-04688,Tiernan Gold Corp.,TSXV,344261840.16,,,,,,
ERD.TO,ERD0001,Erdene Resource Development Corporation,TSX,343864026.14,,,,,,
GSVR.V,V-02080,Guanajuato Silver Company Ltd.,TSXV,342163760.52,,,,,,
GAL.V,V-00754,Galantas Gold Corporation,TSXV,338947642.0,,,,,,
RDS.V,V-01644,Radisson Mining Resources Inc.,TSXV,334967579.34,,,,,,
BRC.V,V-00075,Blackrock Silver Corp.,TSXV,333998595.69,,,,,,
CNC.V,V-04626,Canada Nickel Company Inc.,TSXV,332666208.16,,,,,,
STGO.TO,STE0019,Steppe Gold Ltd.,TSX,328675343.1,,,,,,
TUD.V,V-03156,Tudor Gold Corp.,TSXV,328358206.4,,,,,,
ANDC.V,V-5084,Andina Copper Corporation,TSXV,318704234.8,,,,,,
CAMB.V,V-5077,Cambria Gold Mines Inc.,TSXV,312864305.39,,,,,,
GLO.TO,V-00155,Global Atomic Corporation,TSX,303974955.32,,,,,,
ECU.V,V-04682,Element 29 Resources Inc.,TSXV,301916107.2,,,,,,
TI.TO,TIT0006,Titan Mining Corporation,TSX,300761598.24,,,,,,
MKA.V,V-02891,Mkango Resources Ltd.,TSXV,298344418.68,,,,,,
NEXG.V,TRE0011,NeXGold Mining Corp.,TSXV,293792937.88,,,,,,
PNPN.V,V-01012,Power Metallic Mines Inc.,TSXV,293550062.08,,,,,,
SAU.TO,RAT0001,St. Augustine Gold and Copper Limited,TSX,292216588.865,,,,,,
MACK.V,V-04523,Mackay Gold & Silver Corp.,TSXV,291439408.2,,,,,,
CBR.V,V-04244,Cabral Gold Inc.,TSXV,288110579.04,,,,,,
MOG.V,V-05016,Mogotes Metals Inc.,TSXV,287877315.55,,,,,,
SM.V,V-04725,Sierra Madre Gold and Silver Ltd.,TSXV,281483382.18,,,,,,
GOLD.TO,GOL0070,GoldMining Inc.,TSX,274680535.04,,,,,,
