ticker_full,stage
ICON.V,Explorer
IMM.V,Explorer
IZZ.V,Explorer
IRO.V,Producer
INTR.V,Explorer
IVS.V,Explorer
IZN.V,Royalty/Streamer
IFOS.V,Producer
JTWO.V,Explorer
JJJJ.V,Explorer
JADE.V,Explorer
JG.V,Explorer
JDN.V,Explorer
JHC.V,Shell
JUGR.V,Explorer
JZR.V,Explorer
KTO.V,Explorer
KIRO.V,Explorer
KALO.V,Explorer
KAPA.V,Explorer
KLD.V,Producer
KGC.V,Explorer
KIB.V,Explorer
KCC.V,Explorer
KCP.V,Explorer
KFR.V,Explorer
KGS.V,Explorer
KNG.V,Explorer
KIP.V,Explorer
KLDC.V,Explorer
KSM.V,Explorer
KG.V,Explorer
KS.V,Explorer
KRI.V,Explorer
KDK.V,Explorer
KTRI.V,Explorer
KTN.V,Explorer
KORE.V,Explorer
KRY.V,Explorer
KBRA.V,Explorer
KC.V,Explorer
LAB.V,Explorer
LG.V,Shell
LVG.V,Explorer
LWR.V,Explorer
LRA.V,Royalty/Streamer
LALI.V,Explorer
LXE.V,Explorer
LMS.V,Royalty/Streamer
LME.V,Explorer
LGC.V,Explorer
LEM.V,Explorer
LEGY.V,Explorer
LVX.V,Explorer
LIB.V,Explorer
LIFT.V,Explorer
LMG.V,Explorer
LIO.V,Producer
ROAR.V,Explorer
LAF.V,Explorer
LITH.V,Explorer
LTH.V,Explorer
LBNK.V,Explorer
LOD.V,Explorer
LSTR.V,Explorer
LMR.V,Explorer
LA.V,Explorer
LUCA.V,Producer
LKY.V,Unknown
LPK.V,Explorer
LXM.V,Explorer
LUXR.V,Explorer
MT.V,Explorer
MACK.V,Explorer
MDM.V,Explorer
MGMA.V,Explorer
MTT.V,Explorer
MJS.V,Producer
MKO.V,Producer
MTH.V,Explorer
MN.V,Explorer
MANU.V,Explorer
MGM.V,Explorer
MASS.V,Explorer
MCM.V,Unknown
MAX.V,Explorer
MFG.V,Explorer
MKR.V,Royalty/Streamer
MERG.V,Explorer
MLO.V,Explorer
MTX.V,Explorer
MTA.V,Royalty/Streamer
MMG.V,Royalty/Streamer
MTS.V,Explorer
MQM.V,Explorer
MEK.V,Explorer
MEX.V,Explorer
MMET.V,Explorer
MD.V,Explorer
MMA.V,Explorer
MLP.V,Explorer
MSC.V,Explorer
MGG.V,Explorer
MMM.V,Explorer
MAI.V,Producer
MINK.V,Shell
MCI.V,Explorer
MSR.V,Explorer
MRZ.V,Explorer
MSG.V,Explorer
MKA.V,Explorer
MOG.V,Explorer
MMN.V,Explorer
MRZL.V,Explorer
MON.V,Explorer
MMY.V,Producer
MNRG.V,Explorer
MOO.V,Explorer
MOX.V,Royalty/Streamer
MCC.V,Explorer
MUN.V,Explorer
MUR.V,Explorer
MMX.V,Explorer
NMI.V,Explorer
NAP.V,Explorer
NRC.V,Royalty/Streamer
NTX.V,Explorer
NKG.V,Explorer
NVLH.V,Explorer
NEV.V,Explorer
NAU.V,Explorer
NAM.V,Explorer
NED.V,Explorer
